Color,Description
#FAF0E6,BGcolor
#e80b6b,no ASN
#7934cf,59193
#07eabb,55824
#bca8b7,11537
#b3da37,29
#6b7df8,55836
#68070c,16625
#aebf34,19551
#202fad,2914
#2bb375,20940
#dca90e,8075
#92498b,4637
#b6778a,1221
#69ba34,25003
#5aca71,174
#175c5c,29049
#056b77,31549
#f81a54,2603
#3645b2,15474
#bf9038,13335
#72e850,3356
#4059de,9498
#5ed481,1299
#c2f6e4,38622
#4ddf83,18229
#2a7d99,150008
#5327bd,4755
#391ed5,6453
#38db41,55410
#26efbb,137097
